epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3851.99,0.77016,0.58661,1.12987,0.83834,0.69708,0.6727,0.5416,0.75877,0.87203,1.2562,9.81863e-05,9.81863e-05,9.81863e-05
102,3890.06,0.77271,0.58072,1.13114,0.87606,0.67428,0.68866,0.55334,0.76485,0.79683,1.23725,9.38833e-05,9.38833e-05,9.38833e-05
103,3928.03,0.75592,0.56839,1.12056,0.85376,0.67996,0.70368,0.56978,0.74363,0.81738,1.24285,8.96602e-05,8.96602e-05,8.96602e-05
104,3965.99,0.73766,0.54717,1.11165,0.92881,0.69336,0.73185,0.59091,0.76525,0.78643,1.24701,8.5519e-05,8.5519e-05,8.5519e-05
105,4003.86,0.74652,0.56584,1.11285,0.92259,0.71354,0.72986,0.58597,0.7576,0.76594,1.26179,8.1462e-05,8.1462e-05,8.1462e-05
106,4041.78,0.75163,0.57663,1.12351,0.94999,0.68913,0.73239,0.60257,0.78182,0.80297,1.2815,7.74911e-05,7.74911e-05,7.74911e-05
107,4079.9,0.75584,0.57105,1.12146,0.95362,0.67983,0.73274,0.61295,0.80364,0.82289,1.32267,7.36083e-05,7.36083e-05,7.36083e-05
108,4118.14,0.74935,0.56993,1.11038,0.92631,0.68869,0.72665,0.58034,0.7868,0.8282,1.27955,6.98155e-05,6.98155e-05,6.98155e-05
109,4156.05,0.75297,0.57241,1.1222,0.91035,0.68457,0.72784,0.59245,0.76706,0.75439,1.26698,6.61148e-05,6.61148e-05,6.61148e-05
110,4194.13,0.72926,0.56133,1.10083,0.93233,0.69113,0.72977,0.59068,0.75907,0.74693,1.25042,6.25079e-05,6.25079e-05,6.25079e-05
111,4232,0.73774,0.55965,1.12453,0.94023,0.70916,0.73405,0.587,0.78762,0.79183,1.30601,5.89967e-05,5.89967e-05,5.89967e-05
112,4269.95,0.72977,0.55788,1.11479,0.93761,0.70727,0.73288,0.58401,0.7616,0.80434,1.2585,5.55829e-05,5.55829e-05,5.55829e-05
113,4307.79,0.72079,0.52844,1.09172,0.95584,0.70961,0.73213,0.59781,0.75217,0.80043,1.26443,5.22683e-05,5.22683e-05,5.22683e-05
114,4345.69,0.7417,0.55384,1.11013,0.85648,0.72185,0.70635,0.57495,0.7511,0.80681,1.27977,4.90545e-05,4.90545e-05,4.90545e-05
115,4383.5,0.70667,0.52331,1.09649,0.94357,0.63121,0.69905,0.55479,0.76091,0.88925,1.2943,4.59431e-05,4.59431e-05,4.59431e-05
